locus_tag	abundance	source_gene_id
M744_RS00385	1216.7657	Synpcc7942_0511
M744_RS00390	101.7702	Synpcc7942_0510
M744_RS00395	101.3685	Synpcc7942_0509
M744_RS00400	270.0753	Synpcc7942_0508
M744_RS00405	776.1853	Synpcc7942_0507
M744_RS00410	428.4005	Synpcc7942_0506
M744_RS00415	5662.5868	Synpcc7942_0505
M744_RS00420	1131.9876	Synpcc7942_0504
M744_RS00425	101.7252	Synpcc7942_0503
M744_RS00430	17.9859	Synpcc7942_0502
M744_RS00435	173.6736	Synpcc7942_0501
M744_RS00440	36.0441	Synpcc7942_0500
M744_RS00445	167.5927	Synpcc7942_0499
M744_RS00450	536.2415	Synpcc7942_0498
M744_RS00455	413.9207	Synpcc7942_0496
M744_RS00460	1035.8067	Synpcc7942_0495
M744_RS00465	315.9483	Synpcc7942_0494
M744_RS00470	121.2593	Synpcc7942_0493
M744_RS00475	101.9055	Synpcc7942_0492
M744_RS00485	695.0683	Synpcc7942_0490
M744_RS00490	471.4189	Synpcc7942_0489
M744_RS00495	896.3110	Synpcc7942_0488
M744_RS00500	378.3418	Synpcc7942_0487
M744_RS00505	292.9674	Synpcc7942_0486
M744_RS00510	453.7919	Synpcc7942_0485
M744_RS00515	428.5136	Synpcc7942_0484
M744_RS00520	378.5698	Synpcc7942_0483
M744_RS00525	1688.8059	Synpcc7942_0482
M744_RS00530	619.1093	Synpcc7942_0481
M744_RS00535	880.1324	Synpcc7942_0480
M744_RS00540	962.8663	Synpcc7942_0479
M744_RS00545	215.1884	Synpcc7942_0478
M744_RS00550	519.1726	Synpcc7942_0477
M744_RS00555	133.1972	Synpcc7942_0476
M744_RS00560	27.5883	Synpcc7942_0475
M744_RS00565	2381.1296	Synpcc7942_0473
M744_RS00570	55.7861	Synpcc7942_0472
M744_RS00575	346.2479	Synpcc7942_0471
M744_RS00590	3606.0726	Synpcc7942_0469
M744_RS00595	180.1513	Synpcc7942_0468
M744_RS00600	207.5779	Synpcc7942_0467
M744_RS00605	2132.6454	Synpcc7942_0466
M744_RS00610	569.9422	Synpcc7942_0465
M744_RS00615	3122.9514	Synpcc7942_0464
M744_RS00620	112.7676	Synpcc7942_0463
M744_RS00625	116.8637	Synpcc7942_0462
M744_RS00630	52.6363	Synpcc7942_0461
M744_RS00635	26.9313	Synpcc7942_0460
M744_RS00640	392.3409	Synpcc7942_0459
M744_RS00645	139.5632	Synpcc7942_0458
M744_RS00650	146.3272	Synpcc7942_0457
M744_RS00655	126.6697	Synpcc7942_0455
M744_RS00660	30.7005	Synpcc7942_0454
M744_RS00665	447.8445	Synpcc7942_0453
M744_RS00675	127.7055	Synpcc7942_0451
M744_RS00680	1765.7174	Synpcc7942_0450
M744_RS00685	518.3570	Synpcc7942_0449
M744_RS00690	1100.6701	Synpcc7942_0448
M744_RS00695	55.1073	Synpcc7942_0447
M744_RS00700	3387.0739	Synpcc7942_0446
M744_RS00705	115.7012	Synpcc7942_0445
M744_RS00710	397.2113	Synpcc7942_0444
M744_RS00715	810.8106	Synpcc7942_0443
M744_RS00720	49206.9937	Synpcc7942_0442
M744_RS00725	122.7200	Synpcc7942_0441
M744_RS00735	289.5225	Synpcc7942_0439
M744_RS00740	54.6683	Synpcc7942_0437
M744_RS00750	7.1589	Synpcc7942_0436
M744_RS00755	153.7972	Synpcc7942_0435
M744_RS00760	346.5101	Synpcc7942_0434
M744_RS00770	799.2912	Synpcc7942_0433
M744_RS00775	235.2553	Synpcc7942_0432
M744_RS00780	307.9119	Synpcc7942_0431
M744_RS00785	3998.1978	Synpcc7942_0430
M744_RS00790	2005.7460	Synpcc7942_0429
M744_RS00795	562.0558	Synpcc7942_0428
M744_RS00800	209.4524	Synpcc7942_0427
M744_RS00805	114.5063	Synpcc7942_0426
M744_RS00810	1670.4095	Synpcc7942_0425
M744_RS00815	127823.1243	Synpcc7942_0424
M744_RS00820	943.8683	Synpcc7942_0423
M744_RS00825	805.1550	Synpcc7942_0422
M744_RS00830	131.3419	Synpcc7942_0421
M744_RS00835	331.5840	Synpcc7942_0420
M744_RS00840	291.1340	Synpcc7942_0419
M744_RS00845	65265.6119	Synpcc7942_0418
M744_RS00850	18499.9365	Synpcc7942_0417
M744_RS00855	12433.0657	Synpcc7942_0416
M744_RS00860	3808.7016	Synpcc7942_0415
M744_RS00865	218.3901	Synpcc7942_0414
M744_RS00880	175.9686	Synpcc7942_0412
M744_RS00885	303.6287	Synpcc7942_0411
M744_RS00890	103.8260	Synpcc7942_0410
M744_RS00895	81.8472	Synpcc7942_0409
M744_RS00900	69.7685	Synpcc7942_0408
M744_RS00905	3123.1114	Synpcc7942_0407
M744_RS00910	122.6747	Synpcc7942_0406
M744_RS00915	173.9684	Synpcc7942_0405
M744_RS00920	503.9879	Synpcc7942_0404
M744_RS00925	92.4581	Synpcc7942_0403
M744_RS00930	151.7764	Synpcc7942_0402
M744_RS00935	361.4934	Synpcc7942_0401
M744_RS00940	435.8517	Synpcc7942_0400
M744_RS00945	272.8290	Synpcc7942_0399
M744_RS00950	1121.0985	Synpcc7942_0398
M744_RS00955	131.2378	Synpcc7942_0397
M744_RS00960	459.3561	Synpcc7942_0396
M744_RS00965	780.0367	Synpcc7942_0395
M744_RS00970	187.3917	Synpcc7942_0394
M744_RS00975	96.8495	Synpcc7942_0393
M744_RS00980	122.8949	Synpcc7942_0392
M744_RS00985	786.3831	Synpcc7942_0391
M744_RS00990	188.5258	Synpcc7942_0390
M744_RS00995	99.3310	Synpcc7942_0389
M744_RS01000	92.7152	Synpcc7942_0388
M744_RS01005	228.1123	Synpcc7942_0387
M744_RS01010	903.7670	Synpcc7942_0386
M744_RS01015	8810.7238	Synpcc7942_0385
M744_RS01020	50.2891	Synpcc7942_0384
M744_RS01025	580.8973	Synpcc7942_0383
M744_RS01030	1664.8019	Synpcc7942_0382
M744_RS01035	1521.3264	Synpcc7942_0381
M744_RS01045	547.5945	Synpcc7942_0380
M744_RS01050	222.3037	Synpcc7942_0379
M744_RS01055	601.8260	Synpcc7942_0378
M744_RS01060	1684.8477	Synpcc7942_0377
M744_RS01065	383.8779	Synpcc7942_0376
M744_RS01070	322.0032	Synpcc7942_0375
M744_RS01075	100.7714	Synpcc7942_0374
M744_RS01080	127.0162	Synpcc7942_0373
M744_RS01090	28.3586	Synpcc7942_0371
M744_RS01095	179.2845	Synpcc7942_0370
M744_RS01100	159.9481	Synpcc7942_0369
M744_RS01105	87.5748	Synpcc7942_0368
M744_RS01110	224.3225	Synpcc7942_0367
M744_RS01115	592.6952	Synpcc7942_0366
M744_RS01120	545.9019	Synpcc7942_0365
M744_RS01125	100.5337	Synpcc7942_0364
M744_RS01130	92.7459	Synpcc7942_0363
M744_RS01135	337.6110	Synpcc7942_0362
M744_RS01140	4779.3693	Synpcc7942_0361
M744_RS01145	556.4013	Synpcc7942_0360
M744_RS01150	225.5292	Synpcc7942_0359
M744_RS01155	30.0126	Synpcc7942_0358
M744_RS01160	411.7759	Synpcc7942_0357
