locus_tag	abundance	source_gene_id
M744_RS01940	1622.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01945	227.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01950	209.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01955	551.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01960	1041.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01970	351.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01975	890.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01980	404.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01990	22576.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01995	4892.625000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS02000	223.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02005	1745.875000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02010	3908.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02015	567.750000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS02025	2346.500000	Tan2018_dRNAseq_TSS_count_sum_5TSS
M744_RS02040	616.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02045	1020.750000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02050	790.250000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02055	808.625000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02060	103.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02065	132.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02070	319.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02090	535.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02110	1323.125000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02120	1072.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02125	4246.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02140	366.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02150	578.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02155	350.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02160	9703.250000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02165	358.125000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02170	769.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02180	1774.625000	Tan2018_dRNAseq_TSS_count_sum_5TSS
M744_RS02190	658.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02195	547.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02200	520.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02210	277.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS02215	2460.125000	Tan2018_dRNAseq_TSS_count_sum_8TSS
M744_RS02220	659.250000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02230	558.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02235	364.625000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS02240	558.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
